date | value
2010-01-03 | 42
2010-02-10 | 3.5
2010-06-21 | 999.99
2011-01-03 | 1
2011-12-31 | 250
2012-02-29 | 12.75
2013-07-14 | 500
2014-11-30 | 0.01
2015-05-05 | 123.456
2016-10-01 | 999.999
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 999.5
2015-12-24 | 300
2010-01-03 | 10
2012-06-01 | 50
2011-03-15 | 75.25
2018-08-20 | 600
2014-01-01 | 1
2010-01-03 | 0.0001
2010-01-04 | 999.999
2010-01-05 | 1e-3
2010-01-06 | 998.999
2010-01-03 | 10
2011-04-17 | 120
2012-09-05 | 75
2013-12-01 | 200
2014-06-30 | 333.33
2015-08-19 | 420
2016-11-11 | 666.6
2017-02-28 | 12
2018-07-04 | 88
2019-12-31 | 999
